ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
ATL - Above The Line,Brand,paid social,98.18,False,False,False,Spring,paid social_ATL - Above The Line,paid social_Brand,0.0016631432017454,5795840.3040000005,4.596936381060988,10.98586544020991,0.0016617617106236,15.572651201785614
ATL - Above The Line,Brand,youtube,79960.94,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Brand,1.6621463303499862,3846684139.0176,11.28930605045108,10.781204593892705,0.9791326885410032,22.07047735181352
DR - Direct Response,Title,paid social,1450.88,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.0137118572578723,153520616.12160003,7.280614547341387,11.569429325748164,0.0136187003466585,18.84934542946804
ATL - Above The Line,Brand,paid social,47231.95,False,False,False,Fall,paid social_ATL - Above The Line,paid social_Brand,1.018116904224655,2191160063.7860003,10.762847021240256,10.744892656114237,0.7021648509892031,21.50769695047597
DR - Direct Response,Brand,youtube,31916.84,False,False,False,Winter,youtube_DR - Direct Response,youtube_Brand,1.1255619550605225,905045405.1024,10.37092038010115,10.252641887455482,0.7540362168560362,20.623495672894443
ATL - Above The Line,Title,paid social,521.36,False,False,True,Fall,paid social_ATL - Above The Line,paid social_Title,0.0405872919488688,6697077.744,6.258357005352207,9.46081889543042,0.0397852575650822,15.717181980923703
ATL - Above The Line,Brand,print,20500.74,False,True,False,Winter,print_ATL - Above The Line,print_Brand,1.2016740767226548,349745699.51100004,9.928265039573342,9.744559227917971,0.7892180149580419,19.67271687839928
ATL - Above The Line,Brand,print,979.87,False,False,True,Winter,print_ATL - Above The Line,print_Brand,0.0157724080805362,60874992.0746,6.888439932945158,11.0369291956711,0.0156493162680487,17.92433302560275
ATL - Above The Line,Launch,cinema,109.27,False,False,False,Summer,cinema_ATL - Above The Line,cinema_Launch,0.0178760146973657,667930.3582,4.702931903770587,8.718280890829245,0.0177181176828299,13.411940690053273
ATL - Above The Line,Title,bvod,1475.68,False,False,False,Winter,bvod_ATL - Above The Line,bvod_Title,0.017655997826262,123336640.8304,7.29755160367568,11.33356587721176,0.0175019414000626,18.630428100226524
