Feature,VIF
CHANNEL_MONTH_olv_November,2.2033137797466616e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_October,2.1866261770901464e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_August,2.16639617997182e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_bvod_December,2.134885061539812e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_November,2.0897645476543624e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_November,2.020498583590879e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_September,1.993649185940486e+16
CHANNEL_MONTH_digital audio_August,1.9716805866531668e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_tv_February,1.9625352630968892e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_September,1.9420092445492852e+16
CHANNEL_MONTH_cinema_November,1.938831852773677e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_partnership_August,1.935838426940546e+16
CHANNEL_MONTH_digital audio_March,1.9159410258274124e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_cinema_September,1.9128129086408324e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_online display_August,1.8994482303610296e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_August,1.883868780139364e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_July,1.837959338016802e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_April,1.7871231505086702e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_display_February,1.7746041862699238e+16
CHANNEL_MONTH_print_May,1.7644526206229498e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_July,1.7465259183686514e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_October,1.7235307667739718e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_August,1.721426550953775e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_youtube_February,1.6826289980763498e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_July,1.6704197186671086e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_May,1.6569917779121032e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_ott_October,1.6504389469292516e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_April,1.6488256786376668e+16
CHANNEL_MONTH_ooh_October,1.6463460500246706e+16
